"schema","table_name","pos","column_name","data_type","character_maximum_length","numeric_precision","numeric_scale","is_nullable","column_default"
"public","document_history","1","id","integer","","32","0","NO","nextval('document_history_id_seq'::regclass)"
"public","document_history","2","name","text","","","","NO",""
"public","document_history","3","type","text","","","","NO",""
"public","document_history","4","user_id","uuid","","","","NO",""
"public","document_history","5","created_at","timestamp without time zone","","","","YES","now()"
"public","document_history","6","download_count","integer","","32","0","YES","0"
"public","document_history","7","data","jsonb","","","","NO",""
"public","document_history","8","version","text","","","","YES","'1.0'::text"
"public","document_history","9","last_download_at","timestamp without time zone","","","","YES",""
"public","document_history","10","status","text","","","","YES","'validé'::text"
"public","document_history","11","client","text","","","","YES",""
"public","document_history","12","is_trashed","boolean","","","","NO","false"
"public","v_b_client_files","1","id","uuid","","","","NO","gen_random_uuid()"
"public","v_b_client_files","2","client_id","bigint","","64","0","NO",""
"public","v_b_client_files","3","client_name","text","","","","YES",""
"public","v_b_client_files","4","file_name","text","","","","NO",""
"public","v_b_client_files","5","file_path","text","","","","NO",""
"public","v_b_client_files","6","mime_type","text","","","","NO","'application/octet-stream'::text"
"public","v_b_client_files","7","size_bytes","bigint","","64","0","NO","0"
"public","v_b_client_files","8","category","text","","","","NO","'Autre'::text"
"public","v_b_client_files","9","description","text","","","","YES",""
"public","v_b_client_files","10","uploaded_by","uuid","","","","YES",""
"public","v_b_client_files","11","is_deleted","boolean","","","","NO","false"
"public","v_b_client_files","12","created_at","timestamp with time zone","","","","NO","now()"
"public","v_b_client_files","13","updated_at","timestamp with time zone","","","","NO","now()"
"public","v_b_client_files","14","visible_to_client","boolean","","","","NO","false"
"public","v_b_client_notes","1","id","uuid","","","","NO","gen_random_uuid()"
"public","v_b_client_notes","2","client_id","integer","","32","0","NO",""
"public","v_b_client_notes","3","user_id","uuid","","","","YES",""
"public","v_b_client_notes","4","content","text","","","","NO",""
"public","v_b_client_notes","5","created_at","timestamp with time zone","","","","NO","now()"
"public","v_b_client_notes","6","updated_at","timestamp with time zone","","","","NO","now()"
"public","v_b_client_support_credit_ledger","1","id","uuid","","","","NO","gen_random_uuid()"
"public","v_b_client_support_credit_ledger","2","client_id","integer","","32","0","NO",""
"public","v_b_client_support_credit_ledger","3","delta","integer","","32","0","NO",""
"public","v_b_client_support_credit_ledger","4","balance_after","integer","","32","0","NO",""
"public","v_b_client_support_credit_ledger","5","kind","character varying","32","","","NO","'credit'::character varying"
"public","v_b_client_support_credit_ledger","6","ticket_id","uuid","","","","YES",""
"public","v_b_client_support_credit_ledger","7","note","text","","","","YES",""
"public","v_b_client_support_credit_ledger","8","created_by","uuid","","","","YES",""
"public","v_b_client_support_credit_ledger","9","created_at","timestamp with time zone","","","","NO","now()"
"public","v_b_client_support_credit_ledger","10","pack_id","uuid","","","","YES",""
"public","v_b_client_support_credit_packs","1","id","uuid","","","","NO","gen_random_uuid()"
"public","v_b_client_support_credit_packs","2","client_id","integer","","32","0","NO",""
"public","v_b_client_support_credit_packs","3","label","text","","","","YES",""
"public","v_b_client_support_credit_packs","4","initial_amount","integer","","32","0","NO",""
"public","v_b_client_support_credit_packs","5","remaining_amount","integer","","32","0","NO",""
"public","v_b_client_support_credit_packs","6","valid_from","date","","","","YES",""
"public","v_b_client_support_credit_packs","7","valid_until","date","","","","YES",""
"public","v_b_client_support_credit_packs","8","note","text","","","","YES",""
"public","v_b_client_support_credit_packs","9","created_by","uuid","","","","YES",""
"public","v_b_client_support_credit_packs","10","created_at","timestamp with time zone","","","","NO","now()"
